id,nama_tempat,kategori,kota,alamat,deskripsi,lat,long
15,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,"Jl. Mengger Tengah No.37, Mengger, Kec. Bandung Kidul, Kota Bandung","Panghegar Waterboom Bandung adalah taman air yang menawarkan beragam wahana air seru dan menarik, kolam renang, seluncuran air, dan area bermain air yang cocok untuk dikunjungi oleh keluarga dan pengunjung yang ingin menikmati keseruan dan kesegaran di bawah sinar matahari, menciptakan pengalaman liburan yang menghibur dan menyenangkan",-6.9614032,107.6227321
16,Bandung Indah Waterpark,Taman Hiburan,Bandung,"Jl. Terusan Kopo No.KM 8,4, Sulaiman, Kec. Margahayu, Kabupaten Bandung",Bandung Indah Waterpark merupakan salah satu kolam renang yang ada di Bandung. Menyediakan berbagai wahana permainan air yang cocok bagi keluarga. Terdapat kolam renang untuk dewasa dan anak-anak. Pengunjung dapat melakukan olahraga renang dan rekreasi.,-6.980346408,107.5856567
17,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Bandung,"Jl. Belitung No.1, Merdeka, Kec. Sumur Bandung, Kota Bandung","Taman Lalu Lintas Ade Irma Suryani Nasution adalah taman pendidikan interaktif yang didedikasikan untuk mempromosikan keselamatan lalu lintas dan pengetahuan tentang aturan jalan kepada anak-anak dan masyarakat umum, dengan menyajikan replika jalan raya, lalu lintas miniatur, serta aktivitas belajar mengenai tata cara berlalu lintas, menciptakan lingkungan yang aman dan edukatif bagi pengunjung untuk memahami pentingnya keselamatan dalam berlalu lintas.",-6.911211,107.6133389
18,Lawangwangi Creative Space,Taman Hiburan,Bandung,"Jl. Dago Giri No.99, Mekarwangi, Kec. Lembang, Kabupaten Bandung Barat","Lawangwangi Creative Space adalah tempat seni dan budaya yang menyediakan ruang pameran, galeri seni, studio kreatif, dan area pertunjukan, dengan tujuan mendukung dan mempromosikan karya seni dan budaya lokal maupun internasional, serta menjadi tempat bagi para seniman, desainer, dan pelaku kreatif lainnya untuk berinteraksi, berkolaborasi, dan berkreasi, menciptakan lingkungan yang membangkitkan inspirasi dan apresiasi terhadap seni dan budaya.",-6.847898,107.6276146
19,Kampung Batu Malakasari,Taman Hiburan,Bandung,"Jl. Raya Banjaran Rencong, Malakasari, Kec. Baleendah, Kabupaten Bandung","Kampung Batu Malakasari adalah sebuah desa wisata yang menawarkan pengalaman mendalam tentang kehidupan pedesaan, keindahan alam, serta kegiatan-kegiatan kreatif dan budaya yang khas, seperti membuat kerajinan tangan, memasak makanan tradisional, dan berinteraksi dengan penduduk setempat, menciptakan suasana yang autentik dan memperkaya pengetahuan tentang kehidupan masyarakat desa.",-7.0093633,107.6069444
20,Jendela Alam,Taman Hiburan,Bandung,"Jl. Sersan Bajuri No.KM, RW.5, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat","Jendela Alam adalah tempat wisata edukasi alam yang menawarkan pengalaman belajar yang interaktif dan menyenangkan tentang alam, peternakan, pertanian, serta kehidupan pedesaan, melalui aktivitas-aktivitas seperti mengenal dan memberi makan hewan, berkebun, memetik buah-buahan, serta menjelajahi alam sekitar.",-6.819604,107.5964519
21,Kolam Renang Priangan Tirta,Taman Hiburan,Bandung,"Jl. Bojong Cipandan No.9, Cikasungka, Kec. Cikancung, Kabupaten Bandung","Kolam Renang Priangan Tirta adalah sebuah fasilitas kolam renang yang menawarkan berbagai fasilitas seperti kolam renang utama, kolam anak-anak, area berjemur, dan fasilitas pendukung lainnya seperti kamar mandi dan ruang ganti. Pengunjung dapat berenang, bermain air, atau hanya bersantai di sekitar kolam renang untuk menikmati suasana yang menyegarkan. ",-7.01110921,107.8229858
22,Happyfarm Ciwidey,Taman Hiburan,Bandung,"Cikembang, Panundaan, Kec. Ciwidey, Kabupaten Bandung","Happyfarm Ciwidey adalah destinasi wisata yang terletak di daerah Ciwidey, Bandung. Tempat ini menawarkan pengalaman peternakan dan pertanian yang menyenangkan bagi pengunjung, terutama anak-anak. Happyfarm Ciwidey memiliki berbagai hewan ternak seperti sapi, domba, kambing, dan kelinci yang dapat diinteraksikan oleh pengunjung. Pengunjung dapat memberi makan, mengelus, dan bermain dengan hewan-hewan tersebut. Selain itu, Happyfarm Ciwidey juga memiliki kebun sayur, kebun buah, dan kebun bunga yang indah, di mana pengunjung dapat memetik sendiri produk-produk segar dari kebun tersebut.",-7.1147877,107.4380865
23,Oniba Center,Taman Hiburan,Bandung,"Jalan Raya Cicalengka KM. 1 Cikuya Cicalengka, Bojongsalam, Kec. Rancaekek, Kabupaten Bandung","Oniba Center adalah sebuah kolam renang yang berlokasi di Bojongsalam, Rancaekek, Kabupaten Bandung, Jawa Barat. Oniba Center mimiliki 4 kolam dan playground. ",-6.989141713,107.824867
24,Bale Bambu Adventure Resort,Taman Hiburan,Bandung,"Jl. Raya Soreang-Ciwidey KM. 23, Sukajadi, Soreang, Sukajadi, Kec. Soreang, Kabupaten Bandung","Bale Bambu Adventure Resort adalah sebuah tempat wisata dan resort yang menawarkan pengalaman liburan yang unik dengan suasana alam yang asri dan fasilitas rekreasi yang beragam. Bale Bambu Adventure Resort terkenal karena menggunakan konsep bangunan dan dekorasi yang terbuat dari bambu, memberikan nuansa alami dan ramah lingkungan. Resort ini menawarkan akomodasi berupa vila atau cottage dengan desain tradisional yang menghadap ke pegunungan dan hutan sekitar. Selain itu, resort ini juga menawarkan kegiatan petualangan seperti flying fox, paintball, dan bersepeda gunung bagi para pengunjung yang menyukai tantangan dan kegiatan outdoor",-7.049400795,107.4985468
25,Kiara Artha Park,Taman Hiburan,Bandung,"Jl. Banten, Kebonwaru, Kec. Batununggal, Kota Bandung","Kiara Artha Park adalah sebuah taman rekreasi yang menyajikan suasana alam yang hijau dan segar dengan berbagai fasilitas seperti taman bermain, kolam renang, jogging track, dan area piknik. Taman ini menjadi tempat ideal untuk bersantai, berolahraga, dan menikmati waktu bersama keluarga atau teman-teman di tengah keindahan alam yang terjaga.",-6.9159459,107.6421462
26,Taman Begonia,Taman Hiburan,Bandung,"Jl. Maribaya No.120 A, Langensari, Kec. Lembang, Kabupaten Bandung Barat","Taman Begonia adalah sebuah taman bunga yang terletak di Lembang, Bandung. Taman ini terkenal karena keindahan dan keragaman koleksi begonia yang tumbuh di sana. Begonia adalah jenis bunga yang memiliki berbagai warna dan bentuk yang menawan. Pengunjung dapat menjelajahi taman ini dan menikmati keindahan ribuan begonia yang bermekaran dengan warna-warna yang cerah dan segar. Taman Begonia juga menawarkan berbagai spot foto yang indah, di mana pengunjung dapat mengambil foto yang cantik di antara taman bunga yang indah. Selain itu, terdapat pula berbagai fasilitas seperti area bermain anak, restoran, dan kafe yang menyediakan tempat bersantai sambil menikmati keindahan taman",-6.8260163,107.6383564
27,Kyotoku Floating Market,Taman Hiburan,Bandung,"Jl. Grand Hotel, Lembang, Kec. Lembang, Kabupaten Bandung Barat","Kyotoku Floating Market adalah sebuah destinasi unik dan bersemangat yang terletak di Bandung, Jawa Barat. Terinspirasi oleh pasar terapung di Thailand, Kyotoku menawarkan pengalaman yang berbeda di mana pengunjung dapat menikmati belanja, makanan, dan hiburan dalam suasana yang mengingatkan pada pasar tradisional di atas perahu. Pasar ini memiliki berbagai penjual dan kios yang mengapung di danau buatan, menjual berbagai produk termasuk kerajinan lokal, oleh-oleh, hasil pertanian segar, dan makanan jalanan lezat. Pengunjung dapat berjalan-jalan di sepanjang jalan setapak, melihat-lihat kios-kios yang berbeda, dan menikmati berbagai hidangan kuliner dari masakan Indonesia maupun internasional",-6.819651282,107.6186426
28,NuArt Sculpture Park,Taman Hiburan,Bandung,"Jl. Setra Duta Raya No. L6 Ciwaruga, Kecamatan Parongpong, Bandung Barat","NuArt Sculpture Park adalah sebuah taman seni yang memamerkan berbagai karya seni patung yang unik dan menginspirasi dari seniman-seniman lokal dan internasional. Dengan lanskap yang indah, pengunjung dapat menjelajahi berbagai karya seni yang dipajang di alam terbuka, menciptakan pengalaman yang menarik dan memperkaya apresiasi terhadap seni rupa.",-6.8778589,107.5720263
29,Upside Down World Bandung,Taman Hiburan,Bandung,"Jl. H. Wasid No.31, Lebakgede, Kecamatan Coblong, Kota Bandung","Upside Down World Bandung adalah sebuah atraksi unik di Bandung yang menawarkan pengalaman menarik dengan ruangan-ruangan yang didesain terbalik sehingga menciptakan ilusi optik yang membuat pengunjung terlihat seperti berada di dunia terbalik. Dengan meja-meja, kursi-kursi, dan objek-objek lainnya yang terpasang di langit-langit, pengunjung dapat berfoto-foto dan merasakan sensasi unik seolah berjalan di langit-langit dan dinding.",-6.8963,107.617
30,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,"Jl. Terusan Cibako, Panyirapan, Kec. Soreang, Kabupaten Bandung","Pesona Nirwana Waterpark & Cottages adalah sebuah kompleks wisata yang menawarkan kombinasi antara taman air seru dan akomodasi cottage yang nyaman. Dengan beragam wahana air seperti kolam renang, perosotan air, dan area bermain air lainnya.",-7.0409154,107.5269156
31,Taman Lansia,Taman Hiburan,Bandung,"Jl. Cisangkuy, Citarum, Kec. Bandung Wetan, Kota Bandung",Taman Lansia adalah sebuah taman yang memiliki area khusus terapi refleksi. ,-6.9021326,107.6209387
32,Valley Resort,Taman Hiburan,Bandung,"Jl. Lembah Pakar Tim. No.28, Ciburial, Kec. Cimenyan, Kota Bandung","Valley Resort adalah sebuah tempat wisata dan resor yang terletak di Bandung.  Resort ini menawarkan pengalaman liburan yang menenangkan dengan pemandangan alam yang indah dan suasana yang tenang. Valley Resort dikelilingi oleh pegunungan hijau dan pemandangan alam yang memukau. Pengunjung dapat menikmati udara segar, pemandangan yang menenangkan, serta keheningan di sekitar resort ini. Resort ini menawarkan akomodasi berupa villa atau kamar yang nyaman dengan fasilitas modern untuk memastikan kenyamanan pengunjung. Selain itu, Valley Resort juga menyediakan fasilitas rekreasi dan fasilitas lainnya untuk meningkatkan pengalaman liburan. Pengunjung dapat menikmati kolam renang yang menyegarkan, taman bermain anak, area piknik, area olahraga, dan fasilitas spa untuk relaksasi dan perawatan tubuh.",-6.863178294,107.6340708
33,Taman Kupu-Kupu Cihanjuang,Taman Hiburan,Bandung,"Jl. Cihanjuang Cibaligo Permai Raya No.58, Cihanjuang, Kec. Parongpong, Kabupaten Bandung Barat","Taman Kupu-Kupu Cihanjuang adalah destinasi wisata yang terletak di Cihanjuang, Bandung. Tempat ini merupakan surga bagi para pecinta kupu-kupu, di mana pengunjung dapat menikmati keindahan dan keunikan kupu-kupu yang berbagai jenis dan warna. Taman ini menawarkan pengalaman yang menakjubkan dengan kolam-kolam kecil, tanaman-tanaman hijau, dan bunga-bunga yang menarik perhatian kupu-kupu. Pengunjung dapat berjalan-jalan di antara kupu-kupu yang beterbangan bebas di lingkungan yang dirancang khusus untuk memfasilitasi kehidupan kupu-kupu. Selain itu, pengunjung juga dapat belajar lebih banyak tentang siklus hidup dan perilaku kupu-kupu melalui berbagai informasi dan kegiatan edukatif yang disediakan. Taman Kupu-Kupu Cihanjuang juga menyediakan fasilitas seperti kafe dan area bermain anak untuk melengkapi pengalaman wisata yang menyenangkan.",-6.8590047,107.568779
34,Kampoeng Tulip,Taman Hiburan,Bandung,"Jl. Pasir Pogor Raya Jl. Ciwastra, Mekarjaya, Kec. Rancasari, Kota Bandung","Kampoeng Tulip adalah sebuah destinasi wisata yang menawarkan pengalaman unik dengan suasana seperti di Belanda, di mana pengunjung dapat menikmati keindahan dan keasyikan berada di tengah-tengah ladang bunga tulip yang indah. Kampoeng Tulip menampilkan ribuan bunga tulip yang mekar dengan warna-warni yang menawan, menciptakan pemandangan yang memesona. Selain itu, pengunjung juga dapat berfoto-foto, berkeliling, dan menikmati suasana ala pedesaan Belanda dengan berbagai fasilitas yang tersedia, seperti area bermain anak-anak, restoran, dan toko oleh-oleh.",-6.963162,107.66195
35,Selasar Sunaryo Art Space,Taman Hiburan,Bandung,"Jl. Bukit Pakar Timur No.100, Ciburial, Kec. Cimenyan, Kabupaten Bandung","Selasar Sunaryo Art Space adalah sebuah galeri seni yang didirikan oleh seniman Sunaryo dalam rangka mempromosikan seni dan budaya di Indonesia. Galeri ini menyajikan berbagai karya seni kontemporer dan modern, baik dari seniman Indonesia maupun internasional, meliputi lukisan, patung, instalasi, dan media seni lainnya. Selasar Sunaryo Art Space juga memiliki bangunan yang dirancang dengan estetika yang indah, dengan taman-taman yang asri dan pemandangan alam yang menakjubkan sebagai latar belakang. Pengunjung dapat menikmati keindahan karya seni dan merasakan suasana yang tenang di tempat ini. Selain itu, galeri ini juga menyelenggarakan berbagai acara seni dan budaya seperti pameran, diskusi, dan pertunjukan seni yang menarik.",-6.8585406,107.6365486
36,Rainbow Garden,Taman Hiburan,Bandung,"Lembang, Kec. Lembang, Kabupaten Bandung Barat","Rainbow Garden Bandung adalah wisata taman bunga favorit dengan pesona keindahan warna warni bunga yang berada di kawasan Floating Market Lembang. Banyaknya jenis bunga yang warna warni, membuat taman ini menyerupai pelangi. Taman warna warni inilah yang memang menjadi daya tarik utamanya. Taman ini juga hadirkan banyak atraksi menarik. ",-6.770327251,107.6567932
37,Teras Cikapundung BBWS,Taman Hiburan,Bandung,"Jl. Siliwangi, Hegarmanah, Kec. Cidadap, Kota Bandung","Teras Cikapundung BBWS adalah sebuah area rekreasi yang dikelola oleh Balai Besar Wilayah Sungai Citarum-Ciliwung (BBWS). Tempat ini merupakan proyek rehabilitasi sungai yang mengubah area sungai menjadi ruang publik yang menyenangkan bagi masyarakat. Teras Cikapundung BBWS menawarkan fasilitas seperti jalur pejalan kaki, area bermain anak-anak, ruang terbuka hijau, dan berbagai tempat duduk yang nyaman, sehingga pengunjung dapat menikmati pemandangan alami dan suasana yang tenang di sekitar sungai. Selain itu, terdapat juga berbagai kegiatan seni, budaya, dan lingkungan yang sering diadakan di tempat ini. ",-6.8844199,107.6068344
38,Panama Park 825,Taman Hiburan,Bandung,"Jl. Jend. Sudirman No.825, Cijerah, Kec. Bandung Kulon, Kota Bandung",Panama Park 825 adalah salah satu taman bermain indoor terbesar yang ada di Kota Bandung dan berdiri sejak Juni 2019. ,-6.9119768,107.569674
39,Sudut Pandang Bandung,Taman Hiburan,Bandung,"Jl. Pagermaneuh, RT.05/RW.07, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat","Sudut Pandang sendiri terbagi menjadi dua tempat, yaitu Sudut Cerita dan Sudut Rasa. Di Sudut Cerita menghadirkan objek multimedia keren dan fotogenik. Sementara Sudut Rasa, merupakan restoran dengan berbagai menu Indonesia dan western",-6.8423638,107.6232403
40,Taman Vanda,Taman Hiburan,Bandung,"Jl. Merdeka No.9, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","Taman Vanda adalah taman yang terletak di Kota Bandung, Jawa Barat. Taman ini memiliki latar belakang pemandangan air mancur. Pada malam hari dipasang air mancur di 20 titik dengan sorot lampu warna-warni yang memesona.",-6.9140478,107.6101684
41,Taman Jomblo,Taman Hiburan,Bandung,"Jl. Tamansari No.66, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","Taman kota di bawah jembatan jalan layang, dengan kubus berwarna untuk duduk dan area skateboard.",-6.8980549,107.6094673
42,Peta Park,Taman Hiburan,Bandung,"Jl. Peta No.229, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung","Peta Park adalah sebuah spot wisata yang berupa area taman yang luas, bersih, modern, dan minimalis. Taman ini memiliki beragam spot foto memikat, menikmati akustik, terdapat area bermain anak-anak, terdapat wisata kuliner yang beragam, dan pengunjung bisa bersantai serta menikmati sunset. ",-6.9317951,107.5883026
43,Tektona Waterpark,Taman Hiburan,Bandung,"Jl.Raya Banjaran, Rencong - Kampung Batu, Malakasari, Kec. Baleendah, Kabupaten Bandung","Tektona Waterpark adalah sebuah tempat rekreasi yang menawarkan keseruan bermain air bersama keluarga dan teman-teman. Di sini, pengunjung dapat merasakan kegembiraan melalui berbagai fasilitas modern yang tersedia. Terdapat berbagai kolam yang dapat dinikmati, seperti Kolam Ombak dan Kolam Arus yang memberikan sensasi unik. Selain itu, tersedia juga Kolam Anak dan Balita yang dirancang khusus untuk keamanan dan kesenangan anak-anak. Tempat ini juga dilengkapi dengan fasilitas Semi Olympic dan Mini Slider yang ditujukan bagi anak-anak, serta Mega Slider yang tingginya mencapai hampir 30 meter dan menantang adrenaline para pengunjung dewasa. Dengan berbagai pilihan fasilitasnya, Tektona Waterpark memberikan pengalaman tak terlupakan untuk segala usia.",-7.0096022,107.6062161
44,Jembatan Pasupati,Taman Hiburan,Bandung,"Jl. Layang Pasupati, Tamansari, Kec. Bandung Wetan, Kota Bandung","Jembatan Pasupati merupakan ikon Kota Bandung yang dikenal juga sebagai Jalan Layang Pasupati. Penamaan Pasupati diambil dari dua nama jalan yang digabungkan, yaitu Pasteur dan Surapati. Keunikan Jembatan Surapati terletak pada bagian tengahnya, yaitu terdapat satu tiang yang cukup tinggi dan ditopang dengan 19 cable stayed. Selain itu, jembatan juga menggunakan teknologi Look Up Device (LUD). Teknologi ini merupakan perangkat khusus tahan gempa. ",-6.9000987,107.6046708
45,Puspa Iptek Sundial,Taman Hiburan,Bandung,"Jl. Raya Padalarang No.427, Kertajaya, Padalarang, Bandung","Puspa Iptek adalah singkatan dari Pusat Peragaan Ilmu Pengetahuan dan Teknologi sedangkan Sundial berarti jam Matahari. Kata Sundial tersebut melekat karena Puspa Iptek Sundial berada di sebuah bangunan yang unik. Keunikannya adalah gedungnya sekaligus berfungsi ganda sebagai jam Matahari. Jam Matahari yang terdapat di Puspa Iptek pun tidak hanya satu, melainkan dua buah yaitu jam Matahari horisontal dan jam Matahari vertikal yang terpadu menjadi satu kesatuan",-6.852208,107.493882
46,Taman Badak,Taman Hiburan,Bandung,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","Water Park Bandung Indah adalah sebuah taman air yang menawarkan pengalaman rekreasi yang menyenangkan di Bandung. Dengan berbagai atraksi air seperti kolam renang, seluncuran air, kolam ombak, dan kolam arus, pengunjung dapat menikmati sensasi bermain air yang seru",-6.9132752,107.6094908
47,Batununggal Indah Club,Taman Hiburan,Bandung,"Jl. Soekarno Hatta Jl. Batununggal Indah IX No.2, Mengger, Kec. Bandung Kidul, Kota Bandung","Batununggal Indah Club adalah sebuah klub rekreasi yang terletak di Batununggal, Bandung. Klub ini menawarkan berbagai fasilitas dan kegiatan untuk para anggota dan pengunjung yang ingin bersantai dan berolahraga. Batununggal Indah Club memiliki fasilitas olahraga seperti lapangan tenis, lapangan basket, dan lapangan futsal yang dapat digunakan untuk kegiatan rekreasi dan kompetisi. Selain itu, klub ini juga memiliki kolam renang yang nyaman dan bersih, serta area bermain anak-anak untuk keluarga yang ingin menghabiskan waktu bersama",-6.96323,107.626416
48,Glamping Lakeside Rancabali,Taman Hiburan,Bandung,"Jalan Raya Ciwidey No.Km, RW.39, Situ, Patengan, Kec. Rancabali, Kabupaten Bandung","Glamping Lakeside Rancabali adalah sebuah tempat penginapan unik yang terletak di Rancabali. Glamping Lakeside Rancabali menggabungkan konsep kemah mewah (glamping) dengan lokasi yang indah di tepi danau, menciptakan pengalaman menginap yang istimewa. Pengunjung dapat menikmati akomodasi yang dilengkapi dengan fasilitas modern seperti kamar tidur yang nyaman, kamar mandi, dan balkon dengan pemandangan luar biasa ke danau dan alam sekitarnya. ",-7.1675908,107.3532419
49,Green Hill Park,Taman Hiburan,Bandung,"Jl. Ciwidey, Patengan, Kec. Rancabali, Kabupaten Bandung","Green Hill Park adalah sebuah taman rekreasi yang menawarkan pengalaman liburan yang menyenangkan dengan beragam fasilitas dan keindahan alam di sekitarnya. Green Hill Park memiliki luas area yang cukup besar dan terdiri dari berbagai elemen seperti taman, hutan, dan kolam. Pengunjung dapat menikmati keindahan alam dengan berjalan-jalan di area taman yang hijau, menikmati udara segar, dan menikmati pemandangan yang menenangkan. Terdapat juga fasilitas olahraga dan rekreasi di Green Hill Park, seperti area bermain untuk anak-anak, lapangan olahraga, dan jalur jogging. Pengunjung dapat bermain, berolahraga, atau piknik di area yang disediakan",-7.141640463,107.3953057
